,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
259,Spring Hill Mews Apartments,"Spring Hill, Brisbane",7.7,Good ,397 reviews,0.7 km from centre,Not Travel Sustainable,"Just 10 minutes’ walk from Brisbane city centre and 5 minutes’ walk from Central and Roma Street train stations, these self-contained apartments feature a sparkling outdoor swimming pool set in a..."
260,Oaks Brisbane Lexicon Suites,"Brisbane CBD, Brisbane",8.0,Very good ,957 reviews,0.9 km from centre,Travel Sustainable,"Oaks Brisbane Lexicon Suites is conveniently located in the heart of Brisbane's CBD (Central Business District), within minutes from the Queen Street Mall, Riverside and the Brisbane Convention..."
261,Oaks Brisbane Mews Suites,"Bowen Hills, Brisbane",8.0,Very good ,439 reviews,2.7 km from centre,Travel Sustainable,"Located just 10 minutes' walk from RNA Showgrounds, Oaks Brisbane Mews Suites offers an outdoor pool, a sauna and a fitness centre. "
262,Nightcap at Chardons Corner Hotel,"Annerley, Brisbane",8.3,Very good ,812 reviews,5.5 km from centre,Not Travel Sustainable,"Located within 3km of University of Queensland - St Lucia in the Brisbane suburb of Annerley, Nightcap at Chardons Corner Hotel offers 19 recently renovated rooms catering for leisure and corporate..."
263,Hampton Court Apartments,"Clayfield, Brisbane",8.1,Very good ,161 reviews,5.2 km from centre,Not Travel Sustainable,"Located in Brisbane, Hampton Court Apartments offers an outdoor pool and free parking. Driving into our car park is through the corner of Ford St and Aden St. "
264,Soda Apartments by CLLIX,"South Brisbane, Brisbane",8.0,Very good ,817 reviews,1 km from centre,Travel Sustainable,Dive into your rooftop swimming pool and emerge with views of Brisbane's city skyline. Work out in the fitness centre or enjoy a BBQ on the outdoor terrace. 
265,Evolution Apartments,"Brisbane CBD, Brisbane",8.0,Very good ,"4,007 reviews",250 m from centre,Travel Sustainable,"Boasting a heated outdoor pool, a fitness centre and a hot tub, Evolution Apartments are just 2 minutes’ walk from the Brisbane River. "
266,Airport Ascot Motel,"Hamilton, Brisbane",8.0,Very good ,"1,206 reviews",5.8 km from centre,Not Travel Sustainable,Airport Ascot Motel is a 5-minute walk from the Brisbane Cruise Terminal. Free covered on-site parking is included. After-hours check-in is available. 
267,AirTrip Apartments at Woolloongabba,"Woolloongabba, Brisbane",6.9,Review score ,20 reviews,3.2 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region and The Gabba - Brisbane Cricket Ground reachable within less than 1 km, AirTrip Apartments at Woolloongabba provides accommodation with free WiFi, BBQ..."
268,Oaks Brisbane Aurora Suites,"Brisbane CBD, Brisbane",8.0,Very good ,"2,977 reviews",0.9 km from centre,Travel Sustainable,"Within 5 minutes' walk of Queen Street Mall, Oaks Brisbane Aurora Suites offers stunning city or river views and is conveniently located for leisure or business travellers. "
269,Quest River Park Central,"Brisbane CBD, Brisbane",7.4,Good ,503 reviews,0.6 km from centre,Not Travel Sustainable,"A 5-minute walk from the river and an 11-minute walk from Southbank, Quest River Park Central offers self-contained accommodation a full kitchen and laundry facilities. "
270,Eastwood Apartments,"Woolloongabba, Brisbane",8.0,Very good ,"1,052 reviews",3.1 km from centre,Not Travel Sustainable,"Offering accommodation with free WiFi, a balcony and free parking, Eastwood Apartments are located in Brisbane. Guests enjoy a rooftop entertainment area with a hot tub and an outdoor cinema screen. "
271,Annexe Apartments,"Bowen Hills, Brisbane",7.9,Good ,"1,046 reviews",2.6 km from centre,Travel Sustainable,"Offering self-contained accommodation with free WiFi, Annexe Apartments is directly opposite the Royal Brisbane Womens Hospital, and 400 metres from RNA Showgrounds. "
272,Queen St Residence,"Brisbane CBD, Brisbane",7.5,Good ,64 reviews,1.1 km from centre,Not Travel Sustainable,"Located less than 1 km from the centre of Brisbane, a 8-minute walk from Brisbane Central Station, Queen St Residence provides air-conditioned accommodation with a terrace, an outdoor swimming pool..."
273,Oxley Motor Inn,Brisbane,7.9,Good ,569 reviews,11.8 km from centre,Not Travel Sustainable,"Situated in Brisbane, 11 km from Boggo Road Gaol, Oxley Motor Inn features accommodation with an outdoor swimming pool, free private parking, a garden and a restaurant. "
274,Limes Boutique Hotel,"Fortitude Valley, Brisbane",7.9,Good ,"1,007 reviews",2.1 km from centre,Travel Sustainable,"- ATTENTION: ROOFTOP BAR & PLUNGE POOLS ARE CURRENTLY CLOSED FOR MAINTENANCE We would like to apologize to guests as our rooftop & pools are currently undergoing a refurbishment, we cannot wait for..."
275,Central Brunswick Apartment Hotel,"Fortitude Valley, Brisbane",8.0,Very good ,"1,394 reviews",1.8 km from centre,Travel Sustainable,Central Brunswick Apartment Hotel is just 3 minutes' walk from the Howard Smith Wharves development on Brisbane River and a 2-minute walk from the centre of Fortitude Valley. 
276,AirTrip Apartments on Queen Street,"Brisbane CBD, Brisbane",4.6,Review score ,13 reviews,1.1 km from centre,Not Travel Sustainable,"In a prime location in a central area of Brisbane, AirTrip Apartments on Queen Street offers city views and an outdoor swimming pool, as well as a fitness centre. "
277,Winnova House,Brisbane,4.8,Review score ,37 reviews,10.3 km from centre,Travel Sustainable,"Situated within 11 km of Boggo Road Gaol and 12 km of Story Bridge, Winnova House offers rooms in Brisbane. "
278,Everton Park Hotel,Brisbane,7.8,Good ,451 reviews,8.7 km from centre,Not Travel Sustainable,"Located in Brisbane, within 10 km of Suncorp Stadium and 10 km of Roma Street Parklands, Everton Park Hotel provides accommodation with a bar and as well as free private parking for guests who drive. "
279,Luxury Southbank Apartment with pool Brisbane CBD Hosted by Homestayz,"South Brisbane, Brisbane",6.5,Review score ,23 reviews,0.9 km from centre,Not Travel Sustainable,"In the South Brisbane district of Brisbane, close to Queensland Performing Arts Complex (QPAC), Luxury Southbank Apartment with pool Brisbane CBD Hosted by Homestayz has a terrace, free WiFi and a..."
280,Toowong Villas,"Toowong, Brisbane",7.8,Good ,131 reviews,3.5 km from centre,Travel Sustainable,"Featuring 2 outdoor pools set in lovely gardens, Toowong Villas offers Apartment style accommodation with free WiFi, a courtyard or balcony, a fully equipped kitchen or kitchenette with most..."
281,"The Windsor Apartments and Hotel Rooms, Brisbane","Windsor, Brisbane",8.1,Very good ,309 reviews,3.6 km from centre,Travel Sustainable,"The Windsor Apartments and Hotel Rooms, Brisbane is situated in the Windsor district of Brisbane, 1.3 km from Brisbane Showgrounds, 3.5 km from New Farm Riverwalk and 4km to Brisbane City. "
282,Hotel Chino,"Woolloongabba, Brisbane",7.9,Good ,820 reviews,3.4 km from centre,Travel Sustainable,"Hotel Chino is an independent hotel in Woolloongabba offering spacious, well-appointed rooms and fully self-contained apartments with access to a basic fitness centre with an outdoor pool, hot tub and..."
283,Airport Clayfield Motel,"Clayfield, Brisbane",8.3,Very good ,"1,344 reviews",6.8 km from centre,Travel Sustainable,Airport Clayfield Motel offers a free of charge airport drop off shuttle service each morning from 6:45am to 9:45am (excluding public holidays) 24 hour check in is available. 
284,Hearty Milton Apartments,"Milton, Brisbane",6.5,Review score ,34 reviews,1.7 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Suncorp Stadium and 2 km from Brisbane Convention & Exhibition Centre, Hearty Milton Apartments offers accommodation with free WiFi, a garden with an outdoor..."
285,Riverside Living in Portside Wharf Hamilton,"Hamilton, Brisbane",5.9,Review score ,28 reviews,5.6 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, Riverside Living in Portside Wharf Hamilton features a patio. "
286,Greenslopes Motor Inn,Brisbane,7.9,Good ,118 reviews,4.9 km from centre,Not Travel Sustainable,"Offering an outdoor pool, free WiFi and rooms with private balconies, Greenslopes Motor Inn is just 5 minutes’ drive from The Gabba Brisbane Cricket Ground. "
287,Ivy and Eve Apartments by CLLIX,"South Brisbane, Brisbane",7.9,Good ,"2,382 reviews",0.8 km from centre,Travel Sustainable,"Located in South Brisbane, Ivy Eve Apartments boasts an outdoor, infinity swimming pool, spa centre and a fitness room. Complimentary WiFi is featured. "
288,River Plaza Apartments,"South Brisbane, Brisbane",7.7,Good ,907 reviews,1.6 km from centre,Travel Sustainable,"Offering a year-round outdoor pool and views of the pool, River Plaza Apartments is set in Brisbane. South Bank Parklands is 700 metres from the property. "
289,Salisbury Hotel Motel,Brisbane,7.9,Good ,517 reviews,8.7 km from centre,Not Travel Sustainable,"Salisbury Hotel Motel in Brisbane features 3-star accommodation with a restaurant and a bar. With a garden, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. "
290,Serain Residences On Merivale Street,"South Brisbane, Brisbane",6.4,Review score ,81 reviews,0.9 km from centre,Not Travel Sustainable,"Featuring an outdoor pool, Serain Residences On Merivale Street provides accommodation with free WiFi and free private parking for guests who drive. "
291,S1 Motel,Brisbane,6.0,Review score ,29 reviews,2.6 km from centre,Travel Sustainable,"Set in Brisbane, within less than 1 km of Boggo Road Gaol and a 18-minute walk of Southbank Station, S1 Motel offers accommodation with a terrace and free WiFi as well as free private parking for..."
292,Inn on the Park Apartments,"Auchenflower, Brisbane",7.8,Good ,430 reviews,2.7 km from centre,Not Travel Sustainable,"Just 2 minutes' walk from the Brisbane River and 3kms from Brisbane CBD, Inn on the Park Apartments features self-contained apartments with access to an outdoor pool and a gymnasium. "
293,Selina Brisbane,"Brisbane CBD, Brisbane",8.0,Very good ,557 reviews,350 m from centre,Travel Sustainable,"Situated in Brisbane's CBD (Central Business District), Selina Brisbane is ideally located directly opposite the Roma Street Transit Centre. "
294,PA Apartments,"Woolloongabba, Brisbane",8.1,Very good ,605 reviews,3.7 km from centre,Travel Sustainable,"The PA Apartments are located across Buranda Shopping Centre, a 5-minute drive from central Brisbane. The property offers an outdoor pool, barbecue facilities and free on-site parking. "
295,Garden City Motor Inn,Brisbane,7.9,Good ,352 reviews,12 km from centre,Not Travel Sustainable,"Featuring 3-star accommodation, Garden City Motor Inn is located in Brisbane, 11 km from Boggo Road Gaol and 12 km from Southbank Station. "
296,Comfort Inn & Apartments Northgate Airport Motel,"Northgate, Brisbane",8.0,Very good ,"1,982 reviews",9.9 km from centre,Travel Sustainable,"Conveniently located just 8 minutes’ drive from Brisbane International & Domestic Airport and offering free airport drop off service each morning from 06:30 to 11:00, this motel features free WiFi,..."
297,AirTrip Apartment on Margaret Street in CBD,"Brisbane CBD, Brisbane",4.5,Review score ,32 reviews,0.7 km from centre,Not Travel Sustainable,"Attractively situated in the centre of Brisbane, less than 1 km from Brisbane Central Station, AirTrip Apartment on Margaret Street in CBD features accommodation with free WiFi and a sauna. "
298,Paramount Motel,"Kangaroo Point, Brisbane",7.8,Good ,160 reviews,1.8 km from centre,Travel Sustainable,"Paramount Motel is located 2 km from central Brisbane and a 5-minute drive from South Bank. It features an outdoor pool, barbecue facilities, and guest rooms with free Wi-Fi and a full kitchen. "
299,City Star Lodge,"Kangaroo Point, Brisbane",8.2,Very good ,540 reviews,1.8 km from centre,Not Travel Sustainable,"This clean, modern motel is located at Kangaroo Point, a peaceful yet convenient setting just 2 km from Brisbane CBD. Its facilities feature an outdoor swimming pool. Free WiFi is available. "
300,Garden City Motor Inn,Brisbane,7.9,Good ,352 reviews,12 km from centre,Not Travel Sustainable,"Featuring 3-star accommodation, Garden City Motor Inn is located in Brisbane, 11 km from Boggo Road Gaol and 12 km from Southbank Station. "
301,Comfort Inn & Apartments Northgate Airport Motel,"Northgate, Brisbane",8.0,Very good ,"1,982 reviews",9.9 km from centre,Travel Sustainable,"Conveniently located just 8 minutes’ drive from Brisbane International & Domestic Airport and offering free airport drop off service each morning from 06:30 to 11:00, this motel features free WiFi,..."
302,AirTrip Apartment on Margaret Street in CBD,"Brisbane CBD, Brisbane",4.5,Review score ,32 reviews,0.7 km from centre,Not Travel Sustainable,"Attractively situated in the centre of Brisbane, less than 1 km from Brisbane Central Station, AirTrip Apartment on Margaret Street in CBD features accommodation with free WiFi and a sauna. "
303,Paramount Motel,"Kangaroo Point, Brisbane",7.8,Good ,160 reviews,1.8 km from centre,Travel Sustainable,"Paramount Motel is located 2 km from central Brisbane and a 5-minute drive from South Bank. It features an outdoor pool, barbecue facilities, and guest rooms with free Wi-Fi and a full kitchen. "
304,City Star Lodge,"Kangaroo Point, Brisbane",8.2,Very good ,540 reviews,1.8 km from centre,Not Travel Sustainable,"This clean, modern motel is located at Kangaroo Point, a peaceful yet convenient setting just 2 km from Brisbane CBD. Its facilities feature an outdoor swimming pool. Free WiFi is available. "
305,Morgan Suites,"South Brisbane, Brisbane",7.8,Good ,"2,997 reviews",0.8 km from centre,Not Travel Sustainable,"Offering self-contained accommodation with free WiFi and a private balcony, Morgan Suites are just 4 minutes' walk from the Brisbane River. "
306,Oaks Brisbane Casino Tower Suites,"Brisbane CBD, Brisbane",7.8,Good ,"2,090 reviews",400 m from centre,Travel Sustainable,"Offering self-contained accommodation with a private balcony, Oaks Brisbane Casino Tower Suites is located in Brisbane CBD (Central Business District) opposite Treasury Casino. "
307,The Miro Apartments,"Fortitude Valley, Brisbane",7.9,Good ,461 reviews,1.9 km from centre,Not Travel Sustainable,"Located in the heart of Brisbane’s trendy Fortitude Valley district, these fully self-contained modern apartments include air conditioning and access to free WiFi. "
308,The Astor Apartments,"Spring Hill, Brisbane",7.8,Good ,394 reviews,0.7 km from centre,Travel Sustainable,"These spacious apartments, just 200 metres from Brisbane Central Station, feature free cable TV, fully equipped kitchen and private laundry facilities. "
